Med_HHD_Inc_Thousands_ACS__,pct_Renter_Occp_HU_ACS__,pct_Vacant_Units_ACS__,pct_Not_HS_Grad_ACS__,pct_College_ACS__,pct_NH_Blk_alone_ACS__,Pct_No_Health_Ins_CALCULATED_ACS__,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,pct_Vacant_Units_ACS___Neighbor_Avg,pct_Renter_Occp_HU_ACS___Neighbor_Avg,Cluster_1,Cluster_2,Cluster_3,Velocity_1Yr,GIDTR
0.13574271305477695,-0.0177232702263912,-0.050209253193796315,0.0003492946536276656,-0.004863911320304296,-0.009881541678094524,0.00463422824723834,0.14587590007280382,-0.000175341227963958,-0.004808743806457952,-0.00048112163576783117,-0.047935383091798706,0.15572950066299762,0.2865742465604143,53033000101
0.09288221023435339,-0.0064111173838092275,-0.01788795706996026,-0.03617176442481735,0.0003081672350032047,0.002892346702874702,0.008898784283992149,0.12271142114882529,-6.475135556596535e-05,-0.01836995144808032,-0.00048112163576783117,-0.047935383091798706,0.15572950066299762,0.2865742465604143,53033000102
0.0806139703138857,-0.0037343587501963774,0.007393056729871909,-0.014134726343419867,-0.0011820926877125213,-0.006255194848714512,-0.0005718531482792978,0.09621983257170302,0.0007266574187821688,0.03840945205371924,-0.00048112163576783117,-0.047935383091798706,0.15572950066299762,0.2865742465604143,53033000201
0.015637484368280698,0.003249418429522261,0.0178894776492959,0.01989828004841575,0.0034859273643234857,-0.003913859808724415,0.0017210380195337885,0.28519687667807914,-0.00021335649660076804,-0.13859443678400224,-0.00048112163576783117,-0.047935383091798706,0.15572950066299762,0.2865742465604143,53033000202
0.015775993092165288,0.0057197249344788014,-0.008479579782427778,-0.009602916092809896,0.007858086990526213,0.004547616126495608,-0.001546608813823026,0.2800600421089997,0.0003395928653891949,-0.05817144359644241,-0.00048112163576783117,0.5685669050055013,-0.03967092970818909,0.6810166739479141,53033000300
0.08747582873321816,-0.0041508225269685905,-0.001311292325260181,0.018565394680589296,-0.0016751933974346294,0.004514946335239932,0.0011450460353488589,0.4089472585258603,0.0010145366803681933,-0.10840320034869094,-0.00048112163576783117,-0.047935383091798706,0.15572950066299762,-0.07825856161301045,53033000402
0.17063328766479113,-0.00787763940116095,0.02793788060264691,0.02522982151972159,-0.012150844030642184,0.0032190446154314596,0.0005469005133106623,0.1385395536828178,0.0006817302831204844,-0.028328089720879527,-0.00048112163576783117,0.5685669050055013,-0.03967092970818909,0.6810166739479141,53033000403
0.1847657187706566,-0.015092785345753038,0.013793313388057268,-0.04523538492603727,-0.025333069670546663,-0.029483416431499987,-0.002399520021173788,0.25885841867076687,0.00031643811085586517,-0.023383187621598082,-0.00048112163576783117,0.5685669050055013,-0.03967092970818909,0.6810166739479141,53033000404
-0.1161047477593403,0.012084145728228506,0.02595380103860945,0.037581225928246795,0.021884062733732983,0.0024022998340395654,-0.0014136875867034266,0.24393514859474222,0.00031989404436830236,-0.0429267328531803,-0.00048112163576783117,-0.047935383091798706,0.15572950066299762,-0.07825856161301045,53033000500
0.0653734694169434,0.0020463008521803138,0.015201369852858047,-0.024886668310553306,-0.011142727024099196,-0.0011369275519919762,0.007104347717877557,0.27330141559602394,6.173581098923854e-05,-0.06535273357982103,-0.00048112163576783117,-0.047935383091798706,0.15572950066299762,-0.07825856161301045,53033000602
