GIDTR,State,State_name,County,County_name,Tract,Num_BGs_in_Tract,pct_Prs_Blw_Pov_Lev_ACS__,pct_Civ_unemp_16p_ACS__,pct_Not_HS_Grad_ACS__,pct_College_ACS__,pct_Renter_Occp_HU_ACS__,pct_Vacant_Units_ACS__,No_Health_Ins_ACS__,pct_Males_ACS__,pct_NH_White_alone_ACS__,pct_NH_Blk_alone_ACS__,Tot_Population_ACS__,LAND_AREA,pct_Pop_25_44_ACS__,pct_Pop_Below25_ACS__,pct_Pop_45plus_ACS__,Pop_density_calculated_ACS,Pct_No_Health_Ins_CALCULATED_ACS__,Med_HHD_Inc_Thousands_ACS__,dist_general_km,dist_sud_km,general_facility_count,sud_facility_count,general_facility_count_5km,sud_facility_count_5km,general_facilities_per_10k,sud_facilities_per_10k,general_facilities_per_10k_5km,sud_facilities_per_10k_5km,accessibility_general_2sfca_10km_per10k,accessibility_sud_2sfca_10km_per10k,accessibility_general_2sfca_20km_per10k,accessibility_sud_2sfca_20km_per10k,accessibility_general_2sfca_30km_per10k,accessibility_sud_2sfca_30km_per10k,Intent,Period,Count,Rate,Rate_M,Rate_M_CI,Rate_Independent,Med_HHD_Inc_Thousands_ACS___Neighbor_1,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,pct_Renter_Occp_HU_ACS___Neighbor_1,pct_Renter_Occp_HU_ACS___Neighbor_Avg,pct_Prs_Blw_Pov_Lev_ACS___Neighbor_1,pct_Prs_Blw_Pov_Lev_ACS___Neighbor_Avg,pct_Vacant_Units_ACS___Neighbor_1,pct_Vacant_Units_ACS___Neighbor_Avg,Pct_No_Health_Ins_CALCULATED_ACS___Neighbor_1,Pct_No_Health_Ins_CALCULATED_ACS___Neighbor_Avg,Rate_Independent_Neighbor_1,Rate_Independent_Neighbor_Avg,year_pair,Cluster_ID
53033004402,53,Washington,33,King County,4402,3,32.94,2.72,0.64,78.97,91.96,8.51,221.0,49.71,48.66,3.26,3315.0,0.114,44.04,46.33,8.17,29078.95,6.67,59.351,0.333,3.216,1,0,31,6,3.017,0.0,93.514,18.1,1.18,0.407,1.092,0.431,1.005,0.409,Drug_OD,TTM,12,30.5,0.0,,20.2,142.045,109.957,47.16,62.53,20.41,29.587,2.38,7.18,3.5,4.04,20.2,20.2,2024→2025,0
53033004500,53,Washington,33,King County,4500,2,17.36,4.52,1.16,80.01,45.69,5.18,185.0,55.5,68.28,1.17,3676.0,0.259,40.37,31.67,22.91,14193.05,5.03,143.75,0.547,2.774,0,0,31,6,0.0,0.0,84.331,16.322,1.202,0.413,1.088,0.43,1.0,0.408,Drug_OD,TTM,12,30.5,0.0,,20.2,59.351,73.7,91.96,79.807,32.94,31.363,8.51,9.64,6.67,4.693,20.2,20.2,2024→2025,0
53033004600,53,Washington,33,King County,4600,3,8.27,11.9,1.79,80.63,39.59,5.33,78.0,52.25,87.81,0.25,3625.0,0.599,39.67,20.49,34.4,6051.75,2.15,152.727,1.557,2.679,0,0,31,6,0.0,0.0,85.517,16.552,1.277,0.443,1.092,0.435,0.996,0.414,Drug_OD,TTM,1-9,20.2,1.0,10.8-45.1,17.3,117.672,129.45,52.72,47.033,10.16,10.647,6.43,7.393,3.82,3.833,20.2,19.233,2024→2025,0
53033004701,53,Washington,33,King County,4701,3,12.38,14.03,3.06,75.12,73.49,6.68,312.0,51.5,63.86,1.15,3658.0,0.221,48.66,18.64,28.05,16552.04,8.53,101.516,0.299,2.99,2,0,12,1,5.467,0.0,32.805,2.734,0.977,0.308,0.939,0.386,0.908,0.381,Drug_OD,TTM,1-9,20.5,1.0,11.4-43.7,13.7,130.833,139.841,56.8,63.807,6.49,4.997,10.91,4.25,0.83,1.07,19.8,17.767,2024→2025,0
53033004702,53,Washington,33,King County,4702,3,6.49,4.69,0.16,86.93,56.8,10.91,29.0,44.74,62.06,0.0,3482.0,0.103,68.32,8.65,19.76,33805.83,0.83,130.833,0.248,3.015,1,0,16,2,2.872,0.0,45.951,5.744,0.922,0.279,0.922,0.37,0.894,0.374,Drug_OD,TTM,1-9,16.4,1.0,9.3-34.2,19.8,101.516,130.532,73.49,63.853,12.38,10.42,6.68,4.297,8.53,3.357,13.7,17.767,2024→2025,0
53033004703,53,Washington,33,King County,4703,3,0.79,0.33,1.56,77.29,71.33,0.0,63.0,47.67,75.77,0.32,4074.0,0.459,53.22,19.07,23.74,8875.82,1.55,156.35,0.356,2.196,2,0,14,1,4.909,0.0,34.364,2.455,1.128,0.383,1.002,0.412,0.946,0.399,Drug_OD,TTM,1-9,20.5,1.0,11.4-43.7,13.7,130.833,130.388,56.8,57.943,6.49,7.797,10.91,8.157,0.83,3.66,19.8,18.267,2024→2025,0
53033004800,53,Washington,33,King County,4800,4,4.52,2.25,0.6,77.1,43.54,6.88,83.0,51.53,73.21,1.25,5110.0,0.494,50.59,13.97,30.86,10344.13,1.62,158.816,1.057,1.318,0,0,22,1,0.0,0.0,43.053,1.957,1.25,0.456,1.046,0.434,0.974,0.41,Drug_OD,TTM,1-9,24.1,1.0,13.7-50.6,21.3,120.216,142.355,63.44,62.47,5.97,6.403,2.64,2.147,5.56,3.24,21.3,16.233,2024→2025,0
53033004901,53,Washington,33,King County,4901,3,5.97,3.72,1.53,76.19,63.44,2.64,226.0,44.82,74.99,1.45,4067.0,0.192,47.87,22.64,26.28,21182.29,5.56,120.216,1.205,1.133,0,0,28,2,0.0,0.0,68.847,4.918,1.186,0.392,1.035,0.422,0.969,0.404,Drug_OD,TTM,1-9,24.1,1.0,13.7-50.6,21.3,158.816,131.012,43.54,63.033,4.52,7.013,6.88,7.083,1.62,4.337,21.3,21.3,2024→2025,0
53033004902,53,Washington,33,King County,4902,2,10.59,3.3,1.51,85.6,68.59,7.32,98.0,52.3,79.81,3.06,3264.0,0.231,53.43,20.47,21.66,14129.87,3.0,118.46,0.325,0.242,1,1,31,6,3.064,3.064,94.975,18.382,1.283,0.457,1.057,0.438,0.984,0.413,Drug_OD,TTM,1-9,24.1,1.0,13.7-50.6,21.3,111.603,121.579,75.08,65.223,4.94,6.407,8.56,5.407,3.24,4.927,21.3,14.2,2024→2025,0
53033005000,53,Washington,33,King County,5000,3,5.93,2.88,5.28,76.98,76.97,7.05,375.0,40.94,64.52,6.04,4467.0,0.292,55.52,16.93,24.6,15297.95,8.39,115.761,1.061,1.214,0,0,33,3,0.0,0.0,73.875,6.716,1.24,0.43,1.066,0.433,0.988,0.41,Drug_OD,TTM,1-9,24.1,1.0,13.7-50.6,21.3,120.216,128.847,63.44,58.953,5.97,6.31,2.64,5.943,5.56,4.147,21.3,18.433,2024→2025,0
53033005100,53,Washington,33,King County,5100,3,8.02,1.99,2.85,78.7,38.34,6.63,138.0,46.03,75.94,1.08,3791.0,0.34,36.72,19.5,37.22,11150.0,3.64,154.722,0.483,1.527,0,0,33,6,0.0,0.0,87.048,15.827,1.321,0.478,1.105,0.449,1.01,0.419,Drug_OD,TTM,1-9,16.7,1.0,9.2-35.9,12.7,86.51,104.625,69.22,73.757,12.31,7.727,4.58,6.73,5.27,5.633,12.7,18.433,2024→2025,0
53033005201,53,Washington,33,King County,5201,3,12.31,4.15,0.86,69.52,69.22,4.58,195.0,48.96,55.37,5.6,3697.0,0.27,45.42,21.05,26.99,13692.59,5.27,86.51,0.358,2.107,1,0,33,5,2.705,0.0,89.262,13.524,1.349,0.502,1.127,0.458,1.024,0.426,Drug_OD,TTM,1-9,16.7,1.0,9.2-35.9,12.7,44.532,74.152,96.41,77.993,35.49,35.3,21.68,17.073,5.24,8.267,12.7,12.7,2024→2025,0
