GIDTR,shap_top_feature
53033024500,Rate_Independent
53033024601,Rate_Independent
53033024602,Rate_Independent
53033024701,Rate_Independent
53033024703,Rate_Independent
53033024704,Rate_Independent
53033024800,Rate_Independent
53033024901,Rate_Independent
53033024902,Rate_Independent
53033024904,Rate_Independent
53033024905,Rate_Independent
53033025001,Rate_Independent
53033025005,Rate_Independent
53033025006,Rate_Independent
53033025007,Rate_Independent
53033025008,Rate_Independent
53033025101,Rate_Independent
53033025103,Rate_Independent
53033025104,Rate_Independent
53033025201,pct_NH_Blk_alone_ACS__
53033025202,pct_NH_Blk_alone_ACS__
53033025302,Rate_Independent
53033025303,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033025304,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033025401,Rate_Independent
53033025402,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033025500,Rate_Independent
53033025601,Rate_Independent
53033025602,Rate_Independent
53033025702,Rate_Independent
53033025703,Rate_Independent
53033025704,Rate_Independent
53033025803,Rate_Independent
53033025804,Rate_Independent
53033025805,Rate_Independent
53033025806,Rate_Independent
53033026001,Rate_Independent
53033026003,Cluster_2
53033026004,Rate_Independent
53033026101,Cluster_2
53033026102,Cluster_2
53033026200,Cluster_2
53033026300,Rate_Independent
53033026400,Rate_Independent
53033026500,Rate_Independent
53033026600,Rate_Independent
53033026801,Rate_Independent
53033026802,Rate_Independent
53033027000,Rate_Independent
53033027100,Rate_Independent
53033027200,Rate_Independent
53033027300,Rate_Independent
53033027400,Rate_Independent
53033027500,Rate_Independent
53033027600,Rate_Independent
53033027800,Rate_Independent
53033027901,Rate_Independent
53033027902,Rate_Independent
53033028000,Rate_Independent
53033028100,Rate_Independent
53033028200,Rate_Independent
53033028300,Rate_Independent
53033028402,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033028403,Rate_Independent
53033028500,Rate_Independent
53033028600,Rate_Independent
53033028700,Rate_Independent
53033028801,Rate_Independent
53033028802,Rate_Independent
53033028901,Rate_Independent
53033028902,Med_HHD_Inc_Thousands_ACS__
53033029001,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033029003,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033029004,Med_HHD_Inc_Thousands_ACS__
53033029101,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033029102,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033029203,Rate_Independent
53033029205,Rate_Independent
53033029206,Rate_Independent
53033029207,Rate_Independent
53033029208,Rate_Independent
53033029304,Rate_Independent
53033029305,Rate_Independent
53033029306,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033029307,Rate_Independent
53033029308,Rate_Independent
53033029309,Cluster_2
53033029403,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033029405,Rate_Independent
53033029406,pct_College_ACS__
53033029407,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033029408,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033029504,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033029505,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033029506,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033029507,pct_Vacant_Units_ACS__
53033029508,pct_Vacant_Units_ACS__
53033029603,pct_Not_HS_Grad_ACS__
53033029604,pct_Not_HS_Grad_ACS__
53033029701,Rate_Independent
53033029702,Rate_Independent
53033029803,Rate_Independent
53033029804,Rate_Independent
53033029805,Rate_Independent
53033029806,Rate_Independent
53033029901,Rate_Independent
53033029902,Rate_Independent
53033030003,Rate_Independent
53033030005,Rate_Independent
53033030006,Med_HHD_Inc_Thousands_ACS__
53033030007,Med_HHD_Inc_Thousands_ACS__
53033030008,Rate_Independent
53033030101,Rate_Independent
53033030102,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033030201,Rate_Independent
53033030203,Rate_Independent
53033030204,Pct_No_Health_Ins_CALCULATED_ACS__
53033030304,Rate_Independent
53033030305,Rate_Independent
53033030306,Rate_Independent
53033030308,Rate_Independent
53033030309,Rate_Independent
53033030311,Rate_Independent
53033030313,Med_HHD_Inc_Thousands_ACS__
53033030314,Rate_Independent
53033030403,Rate_Independent
53033030404,Rate_Independent
53033030405,Rate_Independent
53033030406,Rate_Independent
53033030407,Rate_Independent
53033030501,Med_HHD_Inc_Thousands_ACS__
53033030503,Rate_Independent
53033030504,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033030600,Rate_Independent
53033030700,Rate_Independent
53033030801,Rate_Independent
53033030802,Rate_Independent
53033030901,Rate_Independent
53033030902,Rate_Independent
53033031000,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033031101,Rate_Independent
53033031102,Rate_Independent
53033031202,pct_NH_Blk_alone_ACS__
53033031204,Rate_Independent
53033031206,Rate_Independent
53033031208,Rate_Independent
53033031301,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033031302,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033031400,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033031502,Rate_Independent
53033031601,Rate_Independent
53033031604,Rate_Independent
53033031605,Rate_Independent
53033031704,Rate_Independent
53033031705,Rate_Independent
53033031707,Rate_Independent
53033031708,Rate_Independent
53033031709,Rate_Independent
53033031710,Rate_Independent
53033031800,Rate_Independent
53033031904,Rate_Independent
53033031906,Rate_Independent
53033031908,Rate_Independent
53033031909,Rate_Independent
53033031910,Rate_Independent
53033031911,Rate_Independent
53033031912,Rate_Independent
53033031913,Rate_Independent
53033032002,Rate_Independent
53033032003,Rate_Independent
53033032005,Rate_Independent
53033032006,Rate_Independent
53033032007,Rate_Independent
53033032008,Rate_Independent
53033032010,Rate_Independent
53033032011,Rate_Independent
53033032102,Rate_Independent
53033032103,Rate_Independent
53033032104,Rate_Independent
53033032207,Rate_Independent
53033032211,Rate_Independent
53033032213,Rate_Independent
53033032215,Rate_Independent
53033032216,Rate_Independent
53033032217,Rate_Independent
53033032218,Rate_Independent
53033032219,Rate_Independent
53033032220,Rate_Independent
53033032221,Rate_Independent
53033032222,Rate_Independent
53033032223,Rate_Independent
53033032224,Rate_Independent
53033032225,Rate_Independent
53033032307,Rate_Independent
53033032311,Rate_Independent
53033032313,Rate_Independent
53033032315,Rate_Independent
53033032316,Rate_Independent
53033032317,Rate_Independent
53033032318,Rate_Independent
53033032319,Rate_Independent
53033032320,Rate_Independent
53033032321,Rate_Independent
53033032322,Rate_Independent
53033032323,Rate_Independent
53033032324,Rate_Independent
53033032325,Rate_Independent
53033032326,Rate_Independent
53033032327,Rate_Independent
53033032328,Rate_Independent
53033032330,Rate_Independent
53033032331,Rate_Independent
53033032332,Rate_Independent
53033032333,Rate_Independent
53033032401,Rate_Independent
53033032402,Rate_Independent
53033032500,Rate_Independent
53033032601,Rate_Independent
53033032603,Rate_Independent
53033032604,Rate_Independent
53033032605,Rate_Independent
53033032703,Rate_Independent
53033032704,Rate_Independent
53033032705,Rate_Independent
53033032706,Rate_Independent
53033032800,Rate_Independent
