Feature,Mean_Abs_SHAP
Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,7.4409027
pct_Vacant_Units_ACS___Neighbor_Avg,5.067038
pct_Renter_Occp_HU_ACS___Neighbor_Avg,3.2401073
pct_Not_HS_Grad_ACS__,2.7446928
pct_Renter_Occp_HU_ACS__,2.6426327
Med_HHD_Inc_Thousands_ACS__,2.4451826
pct_NH_Blk_alone_ACS__,2.3912933
pct_Vacant_Units_ACS__,2.007241
pct_College_ACS__,1.6401032
Pct_No_Health_Ins_CALCULATED_ACS__,1.5162469
